day,poi,特色,,,,,,,,,,,,,,,,,,
6,"天安门广场 > 故宫博物院 > 什刹海 > 南锣鼓巷
天坛 > 前门大街
八达岭长城 > 明十三陵
鸟巢(国家体育场) > 水立方(国家游泳中心) > 798艺术区 > 三里屯
颐和园
北京环球度假区",经典、全面,,,,,,,,,,,,,,,,,,
3,"南锣鼓巷 > 五道营胡同 > 国子监
八大胡同 > 大栅栏
798艺术区 > 奥林匹克公园 > 鸟巢(国家体育场)",土著、原汁原味,,,,,,,,,,,,,,,,,,
4,"天安门广场 > 故宫博物院 > 南锣鼓巷 > 后海公园
颐和园 > 清华大学 > 北京大学
圆明园 > 鸟巢(国家体育场) > 798艺术区
中国国家博物馆 > 毛主席纪念堂 > 东交民巷 > 前门大街",穷游、学生、地标,,,,,,,,,,,,,,,,,,
5,"天安门广场 > 故宫博物院 > 什刹海 > 南锣鼓巷
天坛 > 前门大街
八达岭长城
798艺术区 > 三里屯
清华大学 > 北京大学",古迹、繁华,,,,,,,,,,,,,,,,,,
4,"南锣鼓巷 > 恭王府 > 什刹海
国子监 > 五道营胡同
八达岭长城
富国海底世界",深度、小长假,,,,,,,,,,,,,,,,,,
1,古北水镇,山水,,,,,,,,,,,,,,,,,,
1,十渡风景名胜区,京郊,,,,,,,,,,,,,,,,,,
1,双龙峡,周边、山水,,,,,,,,,,,,,,,,,,
1,五道营胡同 > 南锣鼓巷 > 798艺术区,拍照、一日游,,,,,,,,,,,,,,,,,,
1,天坛 > 前门大街 > 天安门广场 > 中国国家博物馆 > 王府井,悠闲，各式各样,,,,,,,,,,,,,,,,,,
6,"天安门广场 > 故宫博物院 > 前门大街 > 景山公园
天坛 > 雍和宫 > 国子监 > 簋街
恭王府 > 什刹海 > 南锣鼓巷
圆明园 > 清华大学 > 鸟巢(国家体育场) > 水立方(国家游泳中心)
颐和园 > 北京大学
八达岭长城 > 明十三陵",京味、热门,,,,,,,,,,,,,,,,,,
