day,poi,特色,,,,,,,,,,,,,,,,,,
3,"五大道 > 滨江道商业街 > 瓷房子 > 津湾广场
滨海新区图书馆 > 国家海洋博物馆 > 泰达航母主题公园",人文、历史、文化、多样,,,,,,,,,,,,,,,,,,
2,"津湾广场 > 意大利风情区 > 古文化街 > 天津之眼摩天轮
五大道 > 西开教堂 > 瓷房子 > 天津劝业场 > 南市食品街",周末、热门、精华,,,,,,,,,,,,,,,,,,
1,五大道 > 津湾广场 > 意大利风情区 > 古文化街 > 天津之眼摩天轮,临时、方便、京郊一日游,,,,,,,,,,,,,,,,,,
2,"世纪钟广场 > 瓷房子 > 滨江道商业街 > 五大道 > 海河
意大利风情区 > 古文化街 > 天津之眼摩天轮 > 南市食品街",海河、骑行、春天,,,,,,,,,,,,,,,,,,
1,独乐寺 > 盘山,山景、盘山、寺庙,,,,,,,,,,,,,,,,,,
1,古文化街 > 意大利风情区 > 五大道 > 天津之眼摩天轮,逛吃、轻松、原汁原味,,,,,,,,,,,,,,,,,,
2,"意大利风情区 > 五大道 > 西开教堂 > 瓷房子 > 滨江道商业街
鼓楼 > 古文化街 > 天津之眼摩天轮 > 南市食品街",学生、省钱、放松,,,,,,,,,,,,,,,,,,
4,"五大道 > 瓷房子 > 津湾广场 > 意大利风情区
天津极地海洋公园 > 古文化街 > 天津之眼摩天轮 > 海河
大沽口炮台遗址 > 滨海新区图书馆 > 天津自然博物馆 > 解放桥
天津水上公园 > 天津野生动物园 > 南市食品街",亲子、多样、全面、度假、游乐,,,,,,,,,,,,,,,,,,
1,五大道,马车、赏花、西式建筑、五大道,,,,,,,,,,,,,,,,,,
3,"张学良故居 > 庆王府 > 大沽口炮台遗址 > 古文化街
天津博物馆 > 解放桥 > 周恩来邓颖超纪念馆
梁启超故居 > 平津战役纪念馆",历史、近代、纪念馆、民国,,,,,,,,,,,,,,,,,,
